,PlayerName,TeamName,Continent,Type,Match1,Match2,Match3,Match4,Match5,Match6,Match7,Match8,Match9,Match10,Match11,TotalRuns,MatchesPlayed,WicketsTaken,OversBowled,RunsConceded,Economy
35,Mohommad Nabi,Afganistan,Asia,All-Rounder,6.0,19.0,9.0,7.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,55,9,6,61.3,254.0,4.14
36,Najibullah Zadran,Afganistan,Asia,Batter,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,9,2,0.0,0.0,0.0
37,Rashid Khan,Afganistan,Asia,Bowler,9.0,16.0,23.0,8.0,0.0,0.0,0.0,35.0,14.0,0.0,0.0,105,9,11,86.3,388.0,4.5
38,Mujeeb ur Rahman,Afganistan,Asia,Bowler,1.0,10.0,28.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,51,9,8,81.5,458.0,5.62
39,Naveen-ul-Haq,Afganistan,Asia,Bowler,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,16,9,8,53.4,352.0,6.59
40,Fazallaq Farooqi,Afganistan,Asia,Bowler,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,9,6,40.0,228.0,5.7
41,Riaz Hasan,Afganistan,Asia,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0,0.0,0.0,0.0
42,Ikram Alikhil,Afganistan,Asia,Batter,0.0,0.0,58.0,19.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,89,9,0,0.0,0.0,0.0
43,Noor Ahmad,Afganistan,Asia,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,26,9,5,38.0,182.0,4.79
44,Abdul Rahman,Afganistan,Asia,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0,0.0,0.0,0.0
45,Dasun Shanaka,Sri Lanka,Asia,All-Rounder,68.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,9,0,11.0,64.0,5.82
46,Kusal Mendis,Sri Lanka,Asia,Batter,76.0,122.0,9.0,11.0,11.0,39.0,1.0,19.0,6.0,0.0,0.0,294,9,0,0.0,0.0,0.0
47,Kusal Perera,Sri Lanka,Asia,All-Rounder,7.0,0.0,78.0,5.0,4.0,0.0,0.0,4.0,51.0,0.0,0.0,149,9,0,0.0,0.0,0.0
48,Pathum Nissanka,Sri Lanka,Asia,Bowler,0.0,51.0,61.0,54.0,77.0,46.0,0.0,41.0,2.0,0.0,0.0,332,9,0,0.0,0.0,0.0
49,Dushmantha Chameera,Sri Lanka,Asia,Bowler,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,6,9,2,31.2,196.0,6.28
50,Dimuth Karunaratne,Sri Lanka,Asia,Batter,0.0,0.0,2.0,0.0,0.0,15.0,0.0,0.0,6.0,0.0,0.0,23,9,0,12.0,73.0,6.08
51,Sadeera Samarawickrama,Sri Lanka,Asia,Batter,23.0,108.0,8.0,91.0,65.0,36.0,0.0,41.0,1.0,0.0,0.0,373,9,0,0.0,0.0,0.0
52,Angelo Mathus,Sri Lanka,Asia,All-Rounder,0.0,0.0,0.0,0.0,0.0,23.0,12.0,0.0,16.0,0.0,0.0,51,9,6,22.1,107.0,4.84
53,Charith Asalanka,Sri Lanka,Asia,All-Rounder,79.0,1.0,25.0,44.0,0.0,22.0,1.0,108.0,8.0,0.0,0.0,288,9,0,1.0,10.0,10.0
54,Dhananjaya De Silva,Sri Lanka,Asia,All-Rounder,11.0,25.0,7.0,30.0,0.0,14.0,0.0,34.0,19.0,0.0,0.0,140,9,0,25.0,174.0,6.96
55,Dushan Hemantha,Sri Lanka,Asia,Bowler,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,9,0,16.0,94.0,5.88
56,Maheesh Theekshana,Sri Lanka,Asia,Bowler,0.0,0.0,0.0,0.0,0.0,29.0,12.0,21.0,38.0,0.0,0.0,100,9,6,71.2,382.0,5.37
57,Dunith Wellalage,Sri Lanka,Asia,Bowler,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,9,2,29.2,196.0,6.71
